The 1th group: ---------------
0:	-0.199412   0.012486   2.076958
1:	-0.184512   0.365694   2.092998
2:	-0.168815   0.704368   2.096177
3:	-0.189100   0.860512   2.096199
4:	-0.341250   0.536148   2.078954
5:	-0.380523   0.274927   2.097887
6:	-0.382383   0.043487   2.043932
7:	-0.371618   -0.036831   2.027001
8:	-0.019501   0.558115   2.069965
9:	0.018427   0.289530   2.059287
10:	0.023020   0.069629   1.991977
11:	0.001931   0.018025   1.979372
12:	-0.268433   0.012893   2.039201
13:	-0.217279   -0.567848   2.110198
14:	-0.235817   -0.894643   2.004091
15:	-0.228022   -0.952568   1.893682
16:	-0.122910   0.011633   2.037021
17:	-0.122418   -0.547217   2.106627
18:	-0.116842   -0.876938   2.015664
19:	-0.154657   -0.932473   1.913257
20:	-0.172996   0.621673   2.097593
The 2th group: ---------------
0:	-0.199306   0.012582   2.076945
1:	-0.184698   0.365697   2.092692
2:	-0.170098   0.703944   2.094774
3:	-0.188835   0.860935   2.096416
4:	-0.341112   0.536614   2.079264
5:	-0.380466   0.274972   2.097878
6:	-0.382362   0.043293   2.043826
7:	-0.372462   -0.035022   2.027961
8:	-0.019773   0.558224   2.069676
9:	0.018407   0.289679   2.059257
10:	0.022990   0.069635   1.991949
11:	0.001851   0.017123   1.979566
12:	-0.268323   0.012943   2.039159
13:	-0.217249   -0.571121   2.109931
14:	-0.235802   -0.894802   2.004321
15:	-0.229576   -0.954104   1.895204
16:	-0.122800   0.011792   2.037042
17:	-0.122519   -0.547227   2.106814
18:	-0.117019   -0.877242   2.015029
19:	-0.154193   -0.933592   1.913118
20:	-0.173880   0.621410   2.096556
The 3th group: ---------------
0:	-0.199297   0.012600   2.076936
1:	-0.184718   0.365638   2.092633
2:	-0.170165   0.703627   2.094621
3:	-0.188817   0.860919   2.096390
4:	-0.341529   0.536927   2.079543
5:	-0.380447   0.275003   2.097872
6:	-0.382349   0.043213   2.043757
7:	-0.371477   -0.035258   2.029124
8:	-0.019774   0.558328   2.069873
9:	0.018451   0.289785   2.059249
10:	0.016437   0.037227   1.984787
11:	-0.002691   -0.006830   1.976492
12:	-0.268305   0.012997   2.039091
13:	-0.217096   -0.571574   2.109858
14:	-0.235118   -0.895317   2.004308
15:	-0.231721   -0.954365   1.894917
16:	-0.122792   0.011799   2.037057
17:	-0.121733   -0.547374   2.106660
18:	-0.117457   -0.878215   2.016081
19:	-0.154015   -0.933256   1.912465
20:	-0.173933   0.621171   2.096423
The 4th group: ---------------
0:	-0.199308   0.012592   2.076939
1:	-0.184730   0.365617   2.092603
2:	-0.170149   0.703589   2.094555
3:	-0.188814   0.860886   2.096420
4:	-0.341633   0.536825   2.079563
5:	-0.380496   0.275102   2.097861
6:	-0.382033   0.042123   2.043225
7:	-0.371513   -0.035516   2.030222
8:	-0.019732   0.558290   2.069830
9:	0.018557   0.289758   2.059237
10:	0.019716   0.058215   1.988194
11:	-0.000183   0.007507   1.978970
12:	-0.268315   0.013008   2.039097
13:	-0.217047   -0.572171   2.109555
14:	-0.235868   -0.895122   2.003914
15:	-0.240387   -0.951937   1.892842
16:	-0.122816   0.011743   2.037062
17:	-0.121812   -0.547786   2.106738
18:	-0.118358   -0.878950   2.015642
19:	-0.154008   -0.934249   1.911814
20:	-0.173925   0.621135   2.096362
The 5th group: ---------------
0:	-0.199429   0.012601   2.076922
1:	-0.185123   0.365474   2.092129
2:	-0.170833   0.703129   2.093241
3:	-0.188882   0.861616   2.097792
4:	-0.341456   0.536419   2.079183
5:	-0.380491   0.275083   2.097856
6:	-0.381769   0.043013   2.043369
7:	-0.371985   -0.036510   2.030321
8:	-0.019677   0.558192   2.069776
9:	0.018737   0.289679   2.059227
10:	0.020410   0.061347   1.989432
11:	0.000352   0.010445   1.979940
12:	-0.268465   0.013002   2.039129
13:	-0.217120   -0.570235   2.109879
14:	-0.237413   -0.894974   2.004318
15:	-0.239091   -0.953279   1.894407
16:	-0.122926   0.011763   2.037000
17:	-0.122368   -0.547848   2.106822
18:	-0.119533   -0.878297   2.015905
19:	-0.154757   -0.933676   1.911924
20:	-0.174536   0.620762   2.095279
The 6th group: ---------------
0:	-0.199636   0.012561   2.076862
1:	-0.185142   0.365431   2.092124
2:	-0.170663   0.702992   2.093358
3:	-0.188775   0.861579   2.097774
4:	-0.341436   0.536110   2.078894
5:	-0.380492   0.275056   2.097921
6:	-0.382098   0.043803   2.043488
7:	-0.371540   -0.036251   2.030087
8:	-0.019591   0.558197   2.069815
9:	0.018717   0.289670   2.059298
10:	0.020333   0.061158   1.989538
11:	0.000846   0.010239   1.980504
12:	-0.268710   0.013100   2.039061
13:	-0.217048   -0.570038   2.109966
14:	-0.237565   -0.894647   2.003901
15:	-0.197594   -0.948841   1.898533
16:	-0.123149   0.011564   2.036932
17:	-0.123095   -0.547472   2.106915
18:	-0.120279   -0.879042   2.015663
19:	-0.156107   -0.934428   1.912044
20:	-0.174445   0.620660   2.095339
The 7th group: ---------------
0:	-0.199689   0.012848   2.076761
1:	-0.185347   0.365488   2.091782
2:	-0.171086   0.702728   2.092668
3:	-0.188446   0.861630   2.097516
4:	-0.342221   0.537699   2.079654
5:	-0.380504   0.275049   2.097821
6:	-0.381947   0.043593   2.043221
7:	-0.372430   -0.036612   2.029575
8:	-0.019453   0.558117   2.069752
9:	0.018735   0.289574   2.059294
10:	0.019435   0.051170   1.987111
11:	-0.001050   0.001718   1.976042
